1	YML094W	Subgragh: 1.96836556E14		Degree: 159.0		Eigenvector: 0.2509969		Information: 3.239836		LAC: 13.044025		Betweenness: 475977.2		Closeness: 0.0061006546		Network: 85.730446		
2	YLR200W	Subgragh: 1.9446159E14		Degree: 166.0		Eigenvector: 0.24947807		Information: 3.2426126		LAC: 12.337349		Betweenness: 616227.4		Closeness: 0.006099787		Network: 83.69177		
3	YGR078C	Subgragh: 1.84620579E14		Degree: 159.0		Eigenvector: 0.24308352		Information: 3.239836		LAC: 12.075472		Betweenness: 423986.38		Closeness: 0.0060994676		Network: 81.62133		
4	YNL153C	Subgragh: 1.71089603E14		Degree: 131.0		Eigenvector: 0.23400615		Information: 3.226019		LAC: 14.5801525		Betweenness: 237938.53		Closeness: 0.0060977326		Network: 70.93743		
5	YEL003W	Subgragh: 1.62550973E14		Degree: 132.0		Eigenvector: 0.2280921		Information: 3.2264621		LAC: 13.818182		Betweenness: 254576.47		Closeness: 0.0060963994		Network: 70.54342		
6	YER016W	Subgragh: 1.0466405E14		Degree: 109.0		Eigenvector: 0.1830266		Information: 3.2102811		LAC: 12.770642		Betweenness: 255475.95		Closeness: 0.0060957125		Network: 49.247303		
7	YPR135W	Subgragh: 7.7384733E13		Degree: 108.0		Eigenvector: 0.15737763		Information: 3.2094371		LAC: 11.703704		Betweenness: 292185.75		Closeness: 0.006095124		Network: 49.9367		
8	YEL061C	Subgragh: 7.6587253E13		Degree: 76.0		Eigenvector: 0.15656464		Information: 3.1706047		LAC: 14.815789		Betweenness: 186725.84		Closeness: 0.006092673		Network: 36.25674		
9	YPR141C	Subgragh: 5.8943804E13		Degree: 84.0		Eigenvector: 0.13735184		Information: 3.1829243		LAC: 10.047619		Betweenness: 156314.83		Closeness: 0.006091995		Network: 29.655842		
10	YCL016C	Subgragh: 4.6558226E13		Degree: 71.0		Eigenvector: 0.122071296		Information: 3.1615453		LAC: 10.732394		Betweenness: 114762.836		Closeness: 0.0060915463		Network: 27.355463		
11	YNL298W	Subgragh: 4.49002E13		Degree: 91.0		Eigenvector: 0.119878		Information: 3.1920967		LAC: 8.571428		Betweenness: 268982.4		Closeness: 0.0060933344		Network: 27.920658		
12	YMR078C	Subgragh: 4.4057053E13		Degree: 65.0		Eigenvector: 0.118747115		Information: 3.149046		LAC: 10.984615		Betweenness: 91748.72		Closeness: 0.006090844		Network: 24.626684		
13	YHR191C	Subgragh: 4.1857808E13		Degree: 58.0		Eigenvector: 0.115745366		Information: 3.1312432		LAC: 11.4827585		Betweenness: 66396.16		Closeness: 0.0060903053		Network: 22.90313		
14	YOR349W	Subgragh: 3.9056264E13		Degree: 37.0		Eigenvector: 0.11180488		Information: 3.0420785		LAC: 17.135136		Betweenness: 5093.973		Closeness: 0.0060855756		Network: 21.71754		
15	YJL030W	Subgragh: 3.21795245E13		Degree: 46.0		Eigenvector: 0.10148578		Information: 3.0894415		LAC: 10.869565		Betweenness: 126864.98		Closeness: 0.006087165		Network: 17.048258		
16	YCL029C	Subgragh: 2.76160777E13		Degree: 45.0		Eigenvector: 0.094014846		Information: 3.0850935		LAC: 9.822222		Betweenness: 108750.72		Closeness: 0.0060920035		Network: 17.497284		
17	YGR229C	Subgragh: 2.64919224E13		Degree: 81.0		Eigenvector: 0.092081375		Information: 3.1785538		LAC: 6.987654		Betweenness: 299693.5		Closeness: 0.0060935225		Network: 20.585176		
18	YGL086W	Subgragh: 2.63530595E13		Degree: 28.0		Eigenvector: 0.0918398		Information: 2.968436		LAC: 13.785714		Betweenness: 10185.187		Closeness: 0.0060813497		Network: 14.702243		
19	YMR048W	Subgragh: 2.63199874E13		Degree: 52.0		Eigenvector: 0.09178214		Information: 3.1125588		LAC: 9.576923		Betweenness: 130930.57		Closeness: 0.006088021		Network: 16.779982		
20	YPL174C	Subgragh: 2.58267184E13		Degree: 50.0		Eigenvector: 0.09091804		Information: 3.1053948		LAC: 7.16		Betweenness: 150538.03		Closeness: 0.006092371		Network: 12.416768		
21	YLR085C	Subgragh: 2.47053607E13		Degree: 60.0		Eigenvector: 0.088922374		Information: 3.1367402		LAC: 6.266667		Betweenness: 184076.98		Closeness: 0.0060902317		Network: 16.965612		
22	YDR150W	Subgragh: 2.37151988E13		Degree: 46.0		Eigenvector: 0.0871222		Information: 3.089441		LAC: 6.478261		Betweenness: 61038.496		Closeness: 0.0060872464		Network: 12.150589		
23	YLR103C	Subgragh: 2.37009193E13		Degree: 97.0		Eigenvector: 0.08709594		Information: 3.1987596		LAC: 4.659794		Betweenness: 422368.66		Closeness: 0.006093947		Network: 22.226366		
24	YPL008W	Subgragh: 2.34512953E13		Degree: 31.0		Eigenvector: 0.08663608		Information: 2.9971607		LAC: 12.580646		Betweenness: 20171.32		Closeness: 0.0060834987		Network: 15.7111845		
25	YOR058C	Subgragh: 2.32594625E13		Degree: 30.0		Eigenvector: 0.086281024		Information: 2.9880917		LAC: 12.266666		Betweenness: 13871.566		Closeness: 0.006083922		Network: 14.690387		
26	YDR388W	Subgragh: 2.25531836E13		Degree: 72.0		Eigenvector: 0.084960856		Information: 3.163508		LAC: 9.111111		Betweenness: 196392.84		Closeness: 0.0060922485		Network: 28.865		
27	YPL241C	Subgragh: 2.19226455E13		Degree: 28.0		Eigenvector: 0.083764866		Information: 2.968436		LAC: 12.5		Betweenness: 11845.756		Closeness: 0.0060837264		Network: 14.046077		
