1	YDR381W	Subgragh: 1.1519681E7		Degree: 140.0		Eigenvector: 0.17809933		Information: 3.3725142		LAC: 1.8285714		Betweenness: 992069.8		Closeness: 0.006671958		Network: 21.147211		
2	YDL147W	Subgragh: 1.0287457E7		Degree: 44.0		Eigenvector: 0.2078556		Information: 3.2089255		LAC: 8.545455		Betweenness: 100232.836		Closeness: 0.0066370526		Network: 24.587553		
3	YDR363W-A	Subgragh: 1.0184814E7		Degree: 36.0		Eigenvector: 0.20785663		Information: 3.1602068		LAC: 10.555555		Betweenness: 43200.996		Closeness: 0.0066363937		Network: 22.185228		
4	YDR427W	Subgragh: 9481046.0		Degree: 28.0		Eigenvector: 0.20030215		Information: 3.0875142		LAC: 13.142858		Betweenness: 21565.205		Closeness: 0.006635389		Network: 21.247385		
5	YFR010W	Subgragh: 9139130.0		Degree: 30.0		Eigenvector: 0.202642		Information: 3.108804		LAC: 10.6		Betweenness: 143838.19		Closeness: 0.006651355		Network: 16.773703		
6	YHR027C	Subgragh: 8898621.0		Degree: 28.0		Eigenvector: 0.1939573		Information: 3.0875142		LAC: 12.285714		Betweenness: 42234.938		Closeness: 0.0066350265		Network: 17.045296		
7	YIL075C	Subgragh: 8837775.0		Degree: 26.0		Eigenvector: 0.19239132		Information: 3.0633729		LAC: 13.461538		Betweenness: 24723.809		Closeness: 0.0066332975		Network: 18.339308		
8	YDL097C	Subgragh: 8733214.0		Degree: 29.0		Eigenvector: 0.190981		Information: 3.0985355		LAC: 11.793103		Betweenness: 24821.498		Closeness: 0.006632047		Network: 19.847092		
9	YOR261C	Subgragh: 8424778.0		Degree: 24.0		Eigenvector: 0.18744002		Information: 3.0358486		LAC: 14.083333		Betweenness: 11093.083		Closeness: 0.0066305166		Network: 18.64171		
10	YFR004W	Subgragh: 8320582.5		Degree: 23.0		Eigenvector: 0.1877971		Information: 3.020576		LAC: 14.26087		Betweenness: 10764.51		Closeness: 0.0066343676		Network: 18.115355		
11	YHR200W	Subgragh: 8001560.5		Degree: 21.0		Eigenvector: 0.18290175		Information: 2.9864297		LAC: 15.428572		Betweenness: 3808.7136		Closeness: 0.006629448		Network: 18.83938		
12	YER021W	Subgragh: 7810377.5		Degree: 45.0		Eigenvector: 0.18353525		Information: 3.2138796		LAC: 5.7777777		Betweenness: 176415.69		Closeness: 0.006641951		Network: 12.385054		
13	YGL048C	Subgragh: 7750288.5		Degree: 23.0		Eigenvector: 0.18037942		Information: 3.020576		LAC: 13.391304		Betweenness: 24102.979		Closeness: 0.0066330507		Network: 15.965935		
14	YDL007W	Subgragh: 7602684.0		Degree: 20.0		Eigenvector: 0.17832337		Information: 2.9672604		LAC: 15.4		Betweenness: 3702.0298		Closeness: 0.0066294316		Network: 18.005169		
