1	YHR052W	Subgragh: 4.3302216E10		Degree: 57.0		Eigenvector: 0.19647445		Information: 4.745404		LAC: 15.684211		Betweenness: 12027.854		Closeness: 0.013458659		Network: 34.819977		
2	YMR229C	Subgragh: 3.735187E10		Degree: 56.0		Eigenvector: 0.18251133		Information: 4.7386107		LAC: 12.642858		Betweenness: 41774.645		Closeness: 0.013513769		Network: 22.322351		
3	YPR016C	Subgragh: 3.26810767E10		Degree: 46.0		Eigenvector: 0.1706724		Information: 4.6563745		LAC: 15.695652		Betweenness: 6293.521		Closeness: 0.013443718		Network: 27.348692		
4	YOL077C	Subgragh: 3.21026744E10		Degree: 45.0		Eigenvector: 0.1691666		Information: 4.6463823		LAC: 15.733334		Betweenness: 8825.931		Closeness: 0.0134468805		Network: 27.475		
5	YKR081C	Subgragh: 3.10040228E10		Degree: 44.0		Eigenvector: 0.16621888		Information: 4.6359897		LAC: 15.818182		Betweenness: 6013.7		Closeness: 0.013435628		Network: 27.121414		
6	YER006W	Subgragh: 3.01102428E10		Degree: 43.0		Eigenvector: 0.16380343		Information: 4.625188		LAC: 16.0		Betweenness: 9050.939		Closeness: 0.013456251		Network: 24.37838		
7	YNL061W	Subgragh: 2.6460629E10		Degree: 40.0		Eigenvector: 0.15359867		Information: 4.589923		LAC: 14.3		Betweenness: 4285.6753		Closeness: 0.013438408		Network: 21.551695		
8	YDR060W	Subgragh: 2.6345474E10		Degree: 53.0		Eigenvector: 0.15331887		Information: 4.7168617		LAC: 8.528302		Betweenness: 25241.217		Closeness: 0.013486476		Network: 16.072596		
9	YNL110C	Subgragh: 2.61413028E10		Degree: 39.0		Eigenvector: 0.1526656		Information: 4.5771313		LAC: 14.153846		Betweenness: 4141.8364		Closeness: 0.013444098		Network: 21.046478		
10	YDR496C	Subgragh: 2.59299062E10		Degree: 41.0		Eigenvector: 0.15205438		Information: 4.602171		LAC: 13.365853		Betweenness: 6136.157		Closeness: 0.013443718		Network: 20.079834		
11	YPL043W	Subgragh: 2.43584451E10		Degree: 39.0		Eigenvector: 0.14742857		Information: 4.5771313		LAC: 11.948718		Betweenness: 8635.315		Closeness: 0.013469188		Network: 15.903328		
12	YGR103W	Subgragh: 2.42457764E10		Degree: 33.0		Eigenvector: 0.1470032		Information: 4.486646		LAC: 16.60606		Betweenness: 1502.274		Closeness: 0.013435881		Network: 20.374516		
13	YPL131W	Subgragh: 2.39196836E10		Degree: 41.0		Eigenvector: 0.14603126		Information: 4.602171		LAC: 10.878049		Betweenness: 15672.199		Closeness: 0.013452324		Network: 15.663722		
14	YPL093W	Subgragh: 2.37689569E10		Degree: 35.0		Eigenvector: 0.14553583		Information: 4.519745		LAC: 15.142858		Betweenness: 1956.5175		Closeness: 0.013438155		Network: 19.09307		
15	YOR272W	Subgragh: 2.30442414E10		Degree: 34.0		Eigenvector: 0.14331159		Information: 4.5036173		LAC: 16.352942		Betweenness: 1391.94		Closeness: 0.013419605		Network: 22.505732		
16	YFR001W	Subgragh: 2.24616468E10		Degree: 39.0		Eigenvector: 0.14148794		Information: 4.5771317		LAC: 11.48718		Betweenness: 3712.1565		Closeness: 0.013434491		Network: 17.961939		
17	YOR206W	Subgragh: 2.18723123E10		Degree: 34.0		Eigenvector: 0.13961364		Information: 4.5036173		LAC: 15.235294		Betweenness: 1705.8364		Closeness: 0.013429946		Network: 20.503242		
18	YOR063W	Subgragh: 2.02751611E10		Degree: 38.0		Eigenvector: 0.13445358		Information: 4.5637627		LAC: 9.526316		Betweenness: 6429.769		Closeness: 0.013436513		Network: 12.579708		
